mesh_file	system	layer	fma_id	label
FJ1252.obj	digestive	organ	FMA54397	upper jaw
FJ1253.obj	digestive	organ	FMA59764	gingiva of lower jaw
FJ1283.obj	nervous	organ	FMA52677	left anterior ethmoidal nerve
FJ1290.obj	nervous	organ	FMA52640	left frontal nerve
FJ1293.obj	nervous	organ	FMA52577	inferior branch of left oculomotor nerve
FJ1294.obj	musculoskeletal	muscle	FMA49051	left inferior oblique
FJ1295.obj	musculoskeletal	muscle	FMA49047	left inferior rectus
FJ1296.obj	nervous	organ	FMA52699	left infratrochlear nerve
FJ1300.obj	nervous	organ	FMA52630	left lacrimal nerve
FJ1304.obj	musculoskeletal	muscle	FMA49055	left lateral rectus
FJ1306.obj	musculoskeletal	muscle	FMA49049	left levator palpebrae superioris
FJ1308.obj	musculoskeletal	muscle	FMA49057	left medial rectus
FJ1310.obj	nervous	organ	FMA52670	left nasociliary nerve
FJ1311.obj	nervous	organ	FMA52674	communicating branch of left nasociliary nerve with left ciliary ganglion
FJ1312.obj	nervous	organ	FMA52623	left ophthalmic nerve
FJ1315.obj	nervous	organ	FMA52716	left posterior ethmoidal nerve
FJ1318.obj	nervous	organ	FMA82735	left long ciliary nerve
FJ1321.obj	nervous	organ	FMA52575	superior branch of left oculomotor nerve
FJ1322.obj	musculoskeletal	muscle	FMA49053	left superior oblique
FJ1323.obj	musculoskeletal	muscle	FMA49045	left superior rectus
FJ1325.obj	nervous	organ	FMA52657	left supra-orbital nerve
FJ1326.obj	nervous	organ	FMA52644	left supratrochlear nerve
FJ1333.obj	nervous	organ	FMA52676	right anterior ethmoidal nerve
FJ1341.obj	nervous	organ	FMA52639	right frontal nerve
FJ1344.obj	nervous	organ	FMA52576	inferior branch of right oculomotor nerve
FJ1345.obj	musculoskeletal	muscle	FMA49050	right inferior oblique
FJ1346.obj	musculoskeletal	muscle	FMA49046	right inferior rectus
FJ1347.obj	nervous	organ	FMA52698	right infratrochlear nerve
FJ1351.obj	nervous	organ	FMA52629	right lacrimal nerve
FJ1355.obj	musculoskeletal	muscle	FMA49054	right lateral rectus
FJ1357.obj	musculoskeletal	muscle	FMA49048	right levator palpebrae superioris
FJ1359.obj	musculoskeletal	muscle	FMA49056	right medial rectus
FJ1361.obj	nervous	organ	FMA52669	right nasociliary nerve
FJ1362.obj	nervous	organ	FMA52673	communicating branch of right nasociliary nerve with right ciliary ganglion
FJ1363.obj	nervous	organ	FMA52622	right ophthalmic nerve
FJ1366.obj	nervous	organ	FMA52715	right posterior ethmoidal nerve
FJ1369.obj	nervous	organ	FMA82734	right long ciliary nerve
FJ1372.obj	nervous	organ	FMA52574	superior branch of right oculomotor nerve
FJ1373.obj	musculoskeletal	muscle	FMA49052	right superior oblique
FJ1374.obj	musculoskeletal	muscle	FMA49044	right superior rectus
FJ1376.obj	nervous	organ	FMA52656	right supra-orbital nerve
FJ1377.obj	nervous	organ	FMA52643	right supratrochlear nerve
FJ1383.obj	musculoskeletal	muscle	FMA37717	first lumbrical of right foot
FJ1383M.obj	musculoskeletal	muscle	FMA37718	first lumbrical of left foot
FJ1384.obj	musculoskeletal	muscle	FMA37745	first plantar interosseous of right foot
FJ1384M.obj	musculoskeletal	muscle	FMA37746	first plantar interosseous of left foot
FJ1385.obj	musculoskeletal	muscle	FMA37719	second lumbrical of right foot
FJ1385M.obj	musculoskeletal	muscle	FMA37720	second lumbrical of left foot
FJ1386.obj	musculoskeletal	muscle	FMA37743	second plantar interosseous of right foot
