# Label map for the TCIA Healthy-Total-Body-CTs segmentations.
#
# Transcribed verbatim from the collection's own `segmentation_organ_values`
# spreadsheet (sheet "Segmentation Organ Values"), which defines Index as
# "corresponds to the segment number in the NIfTI image".
#
# ONLY 1-36 ARE HERE, DELIBERATELY. The spreadsheet lists 119 labels, but
# 37-119 are brain sub-structures (hippocampus, amygdala, temporal lobe parts)
# that are NOT present in these files -- measured: every subject's NIfTI
# contains exactly labels 1-36. Carrying the other 83 would mean the label map
# promised structures the asset does not have.
#
# index	name
1	Adrenal-glands
2	Aorta
3	Bladder
4	Brain
5	Heart
6	Kidneys
7	Liver
8	Pancreas
9	Spleen
10	Thyroid
11	VCI
12	Lung
13	Carpal
14	Clavicle
15	Femur
16	Fibula
17	Humerus
18	Metacarpal
19	Metatarsal
20	Patella
21	Pelvis
22	Fingers
23	Radius
24	Ribcage
25	Scapula
26	Skull
27	Spine
28	Sternum
29	Tarsal
30	Tibia
31	Toes
32	Ulna
33	Skeletal-muscle
34	Subcutaneous-fat
35	Torso-fat
36	Psoas
