# Z-Anatomy structure -> Latin name — GENERATED, do not edit by hand.
#
# Rebuild:  node scripts/build-latin-crosswalk.mjs --src <parts-catalog.json>
# Apply:    node scripts/apply-crosswalk.mjs public/models/z-anatomy.ao.glb \
#             public/models/z-anatomy-regions.ao.glb --tsv docs/z-anatomy-latin.tsv --field name_lat
#
# Joined from Anatomed (pitfa19/anatomed-mcp, CC BY-SA 4.0) by exact match on
# (name, side) after ordinal normalisation. The nomenclature is Z-Anatomy's;
# Anatomed extracted it. Both are credited — see licences.json and D24.
name	side	name_lat
(Abdominal part of pectoralis major muscle)	left	(Pars abdominalis musculi pectoralis majoris)
(Abdominal part of pectoralis major muscle)	right	(Pars abdominalis musculi pectoralis majoris)
(Adductor minimus)	left	(Adductor minimus)
(Adductor minimus)	right	(Adductor minimus)
(Opponens digiti minimi muscle of foot)	left	(Musculus opponens digiti minimi pedis)
(Opponens digiti minimi muscle of foot)	right	(Musculus opponens digiti minimi pedis)
Abducens nerve (VI)	left	Nervus abducens (VI)
Abducens nerve (VI)	right	Nervus abducens (VI)
Abductor digiti minimi of foot	left	Abductor digiti minimi pedis
Abductor digiti minimi of foot	right	Abductor digiti minimi pedis
Abductor digiti minimi of hand	left	Abductor digiti minimi manus
Abductor digiti minimi of hand	right	Abductor digiti minimi manus
Abductor hallucis	left	Abductor hallucis
Abductor hallucis	right	Abductor hallucis
Abductor pollicis brevis	left	Abductor brevis pollicis
Abductor pollicis brevis	right	Abductor brevis pollicis
Abductor pollicis longus	left	Abductor longus pollicis
Abductor pollicis longus	right	Abductor longus pollicis
Accessory branch of middle meningeal artery	left	Ramus accessorius arteriae meningeae mediae
Accessory branch of middle meningeal artery	right	Ramus accessorius arteriae meningeae mediae
Accessory hemi-azygos vein		Vena hemiazyga accessoria
Accessory nerve (XI)	left	Nervus accessorius (XI)
Accessory nerve (XI)	right	Nervus accessorius (XI)
Accessory pancreatic duct		Ductus pancreaticus accessorius
Acetabular labrum	left	Labrum acetabuli
Acetabular labrum	right	Labrum acetabuli
Acromial part of deltoid muscle	left	Pars acromialis musculi deltoidei
Acromial part of deltoid muscle	right	Pars acromialis musculi deltoidei
Acromioclavicular ligament	left	Ligamentum acromioclaviculare
Acromioclavicular ligament	right	Ligamentum acromioclaviculare
Adductor brevis	left	Adductor brevis
Adductor brevis	right	Adductor brevis
Adductor longus	left	Adductor longus
Adductor longus	right	Adductor longus
Adductor magnus	left	Adductor magnus
Adductor magnus	right	Adductor magnus
Adenohypophysis		Adenohypophysis
Amygdaloid body	left	Corpus amygdaloideum
Amygdaloid body	right	Corpus amygdaloideum
Anal region	left	Regio analis
Anal region	right	Regio analis
Anconeus muscle	left	Musculus anconeus
Anconeus muscle	right	Musculus anconeus
Angle of mouth	left	Angulus oris
Angle of mouth	right	Angulus oris
Angular artery	left	Arteria angularis
Angular artery	right	Arteria angularis
Angular gyrus	left	Gyrus angularis
Angular gyrus	right	Gyrus angularis
Angular vein	left	Vena angularis
Angular vein	right	Vena angularis
Annular ligament of radius	left	Ligamentum anulare radii
Annular ligament of radius	right	Ligamentum anulare radii
Antebrachial fascia	left	Fascia antebrachii
Antebrachial fascia	right	Fascia antebrachii
Anterior basal segmental artery of left lung		Arteria segmentalis basalis anterior pulmonis sinistri
Anterior basal segmental artery of right lung		Arteria segmentalis basalis anterior pulmonis dextri
Anterior belly of digastric muscle	left	Venter anterior musculi digastrici
Anterior belly of digastric muscle	right	Venter anterior musculi digastrici
Anterior branch of medial antebrachial cutaneous nerve	left	Ramus anterior nervi cutanei medialis antebrachii
Anterior branch of medial antebrachial cutaneous nerve	right	Ramus anterior nervi cutanei medialis antebrachii
Anterior branch of obturator nerve	left	Ramus anterior nervi obturatorii
Anterior branch of obturator nerve	right	Ramus anterior nervi obturatorii
Anterior branch of renal artery	left	Ramus anterior arteriae renalis
Anterior cerebral artery	left	Arteria cerebri anterior
Anterior cerebral artery	right	Arteria cerebri anterior
